City_Data,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
360,porbandar,92,IN,1532561760,84,21.64,69.61,82.01,22.64
361,zhigalovo,92,RU,1532561760,100,54.81,105.15,59.6,2.95
362,la cruz,36,MX,1532561761,62,23.92,-106.89,89.21,3.96
363,hanna,0,CA,1532561761,72,51.64,-111.93,68.96,4.85
364,taoudenni,0,ML,1532561761,13,22.68,-3.98,84.71,6.87
365,shymkent,0,KZ,1532559600,37,42.31,69.59,71.6,6.71
366,lufilufi,40,WS,1532556000,62,-13.87,-171.6,86.0,4.7
367,port hedland,90,AU,1532559600,82,-20.31,118.58,60.8,4.7
368,saint george,64,GR,1532561763,99,39.45,22.34,65.0,2.62
369,luwingu,0,ZM,1532561763,59,-10.26,29.92,53.84,7.09
370,fano,0,IT,1532559000,77,43.84,13.01,71.6,3.36
371,vuktyl,20,RU,1532561764,64,63.86,57.31,63.29,2.95
372,san policarpo,36,PH,1532561764,100,12.18,125.51,81.74,11.79
373,saint-paul,0,FR,1532559600,53,45.22,1.9,77.0,4.7
374,amuntai,8,ID,1532561766,93,-2.42,115.25,75.71,2.95
375,shenjiamen,0,CN,1532561766,91,29.96,122.3,83.9,14.03
376,lata,92,IN,1532561767,100,30.78,78.62,57.62,1.72
377,kidal,56,ML,1532561767,45,18.44,1.41,87.59,14.03
378,mabaruma,76,GY,1532561767,90,8.2,-59.78,79.4,5.75
379,touros,92,BR,1532561768,84,-5.2,-35.46,77.15,14.81
380,neuquen,0,AR,1532559600,80,-38.95,-68.06,39.2,5.41
381,matara,0,PE,1532561769,66,-13.74,-72.9,39.26,1.95
